Дата,курс рубля,цена на нефть,logrub,logoil,numrub,numoil
2/2/2022,"77,1302","89,47","-0,0036","0,0079",39,62
2/3/2022,"76,4849","91,11","0,0009","0,0102",68,68
2/4/2022,"76,6501","93,27","-0,0034","-0,0027",43,29
2/5/2022,"76,0509","92,69","-0,0021","-0,0090",53,18
2/8/2022,"75,6806","90,78","-0,0022","0,0037",52,49
2/9/2022,"75,3042","91,55","-0,0029","-0,0007",46,34
2/10/2022,"74,8015","91,41","-0,0004","0,0142",60,79
2/11/2022,"74,7241","94,44","0,0015","0,0093",71,65
2/12/2022,"74,9867","96,48","0,0091","-0,0146",79,12
2/15/2022,"76,5762","93,28","-0,0023","0,0071",49,59
2/16/2022,"76,1660","94,81","-0,0024","-0,0085",48,21
2/18/2022,"75,7527","92,97","0,0001","0,0030",62,45
2/19/2022,"75,7619","93,61","0,0057","0,0082",76,63
2/22/2022,"76,7671","95,39","0,0202","0,0066",82,58
2/23/2022,"80,4194","96,84","0,0338","0,0000",85,38
2/25/2022,"86,9288","96,84","-0,0172","0,0099",9,67
2/26/2022,"83,5485","99,08","0,0491","-0,0051",89,26
3/1/2022,"93,5589","97,93","-0,0085","0,0002",24,39
3/2/2022,"91,7457","97,97","0,0513","0,0300",90,88
3/3/2022,"103,2487","104,97","0,0344","0,0317",86,89
3/4/2022,"111,7564","112,93","-0,0237","-0,0096",5,16
3/5/2022,"105,8124","110,46","0,0000","0,0291",61,86
3/6/2022,"105,8124","118,11","0,0402","0,0184",87,83
3/10/2022,"116,0847","123,21","0,0158","0,0165",81,81
3/11/2022,"120,3785","127,98","-0,0133","-0,0613",14,1
3/12/2022,"116,7517","111,14","-0,0058","-0,0071",30,23
3/15/2022,"115,1963","109,33","-0,0142","0,0131",10,78
3/16/2022,"111,4823","112,67","-0,0136","-0,0228",11,8
3/17/2022,"108,0521","106,90","-0,0133","-0,0294",15,3
3/18/2022,"104,8012","99,91","-0,0035","-0,0083",40,22
3/19/2022,"103,9524","98,02","0,0030","0,0366",75,90
3/22/2022,"104,6819","106,64","-0,0025","0,0052",47,53
3/23/2022,"104,0741","107,93","-0,0038","0,0299",38,87
3/24/2022,"103,1618","115,62","-0,0310","-0,0005",3,35
3/25/2022,"96,0458","115,48","-0,0017","0,0224",54,84
3/26/2022,"95,6618","121,60","-0,0089","-0,0093",22,17
3/29/2022,"93,7125","119,03","-0,0359","0,0059",1,55
3/30/2022,"86,2843","120,65","-0,0112","-0,0305",17,2
3/31/2022,"84,0851","112,48","-0,0035","-0,0088",41,20
4/1/2022,"83,4097","110,23","0,0001","0,0125",63,75
4/2/2022,"83,4285","113,45","0,0009","-0,0217",67,9
4/5/2022,"83,5932","107,91","-0,0013","-0,0144",55,13
4/6/2022,"83,3520","104,39","-0,0040","0,0129",36,77
4/7/2022,"82,5962","107,53","-0,0347","-0,0036",2,28
4/8/2022,"76,2547","106,64","-0,0081","-0,0233",25,6
4/9/2022,"74,8501","101,07","0,0243","-0,0021",83,30
4/12/2022,"79,1596","100,58","0,0026","0,0094",73,66
4/13/2022,"79,6274","102,78","0,0012","-0,0186",70,11
4/14/2022,"79,8471","98,48","0,0078","0,0263",78,85
4/15/2022,"81,2880","104,64","-0,0067","0,0169",28,82
4/16/2022,"80,0437","108,78","-0,0032","0,0115",45,71
4/19/2022,"79,4529","111,70","-0,0023","-0,0004",50,36
4/20/2022,"79,0287","111,60","-0,0108","0,0060",18,56
4/21/2022,"77,0809","113,16","-0,0119","-0,0233",16,7
4/22/2022,"74,9990","107,25","-0,0087","-0,0018",23,31
4/23/2022,"73,5050","106,80","-0,0009","0,0062",59,57
4/26/2022,"73,3611","108,33","-0,0039","-0,0068",37,25
4/27/2022,"72,7089","106,65","0,0010","-0,0068",69,24
4/28/2022,"72,8764","104,99","-0,0035","0,0014",42,42
4/29/2022,"72,2953","105,32","-0,0077","0,0093",27,64
4/30/2022,"71,0237","107,59","-0,0099","-0,0018",20,32
5/5/2022,"69,4160","107,14","-0,0204","0,0120",7,73
5/6/2022,"66,2378","110,14","0,0075","0,0030",77,46
5/7/2022,"67,3843","110,90","0,0093","0,0058",80,54
5/12/2022,"68,8389","112,39","-0,0197","-0,0193",8,10
5/13/2022,"65,7916","107,51","-0,0135","-0,0002",12,37
5/14/2022,"63,7799","107,45","-0,0023","0,0163",51,80
5/17/2022,"63,4445","111,55","0,0007","0,0103",65,69
5/18/2022,"63,5428","114,24","0,0001","-0,0089",64,19
5/19/2022,"63,5643","111,93","-0,0080","-0,0111",26,15
5/20/2022,"62,4031","109,11","-0,0252","0,0115",4,72
5/21/2022,"58,8862","112,04","-0,0050","0,0020",34,44
5/24/2022,"58,2087","112,55","-0,0093","0,0033",21,48
5/25/2022,"56,9690","113,42","-0,0051","0,0005",33,40
5/26/2022,"56,2996","113,56","0,0422","0,0018",88,43
5/27/2022,"62,0495","114,03","0,0294","0,0126",84,76
5/28/2022,"66,4029","117,40","-0,0222","0,0074",6,60
5/31/2022,"63,0975","119,43","-0,0104","0,0122",19,74
6/1/2022,"61,6069","122,84","-0,0009","-0,0238",58,5
6/2/2022,"61,4733","116,29","0,0007","0,0049",66,52
6/3/2022,"61,5750","117,61","0,0027","0,0077",74,61
6/4/2022,"61,9659","119,72","-0,0060","0,0031",29,47
6/7/2022,"61,1094","120,57","-0,0011","0,0107",57,70
6/8/2022,"60,9565","123,58","-0,0052","-0,0018",31,33
6/9/2022,"60,2282","123,07","-0,0135","-0,0038",13,27
6/10/2022,"58,3895","122,01","-0,0046","0,0009",35,41
6/11/2022,"57,7780","122,27","-0,0052","-0,0136",32,14
6/15/2022,"57,0926","118,51","-0,0033","0,0047",44,51
6/16/2022,"56,6624","119,81","0,0016","-0,0250",72,4
6/17/2022,"56,8691","113,12","-0,0012","0,0039",56,50
6/18/2022,"56,7101","114,13",,,,